Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,191.639999,191.679993,188.380005,191.240005,191.240005,27862000
2019-04-02,191.089996,194.460007,191.050003,194.020004,194.020004,22765700
2019-04-03,193.250000,196.500000,193.149994,195.350006,195.350006,23271800
2019-04-04,194.789993,196.369995,193.139999,195.690002,195.690002,19114300
2019-04-05,196.449997,197.100006,195.929993,197.000000,197.000000,18526600
2019-04-08,196.419998,200.229996,196.339996,200.100006,200.100006,25881700
2019-04-09,200.320007,202.850006,199.229996,199.500000,199.500000,35768200
2019-04-10,198.679993,200.740005,198.179993,200.619995,200.619995,21695300
2019-04-11,200.850006,201.000000,198.440002,198.949997,198.949997,20900800
2019-04-12,199.199997,200.139999,196.210007,198.869995,198.869995,27760700
2019-04-15,198.580002,199.850006,198.009995,199.229996,199.229996,17536600
2019-04-16,199.460007,201.369995,198.559998,199.250000,199.250000,25696400
2019-04-17,199.539993,203.380005,198.610001,203.130005,203.130005,28906800
2019-04-18,203.119995,204.149994,202.520004,203.860001,203.860001,24195800
2019-04-22,202.830002,204.940002,202.339996,204.529999,204.529999,19439500
2019-04-23,204.429993,207.750000,203.899994,207.479996,207.479996,23323000
2019-04-24,207.360001,208.479996,207.050003,207.160004,207.160004,17540600
2019-04-25,206.830002,207.759995,205.119995,205.279999,205.279999,18543200
2019-04-26,204.899994,205.000000,202.119995,204.300003,204.300003,18649100
2019-04-29,204.399994,205.970001,203.860001,204.610001,204.610001,22204700
2019-04-30,203.059998,203.399994,199.110001,200.669998,200.669998,46147000
2019-05-01,209.880005,214.919998,209.229996,214.740005,214.740005,28762274
""
